Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,500,0,0.0,30,-1422081287,1291092634,205.61028473441962,801.4844510914056,52.86666666666667,20.133333333333333,72.42009132420092,377.9142853266933,1729.9147095923875,1:24
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,1000,0,0.0,30,1668804611,689615035,196.65836601248913,783.5089017550944,55.166666666666664,17.833333333333332,75.57077625570778,374.5486811131742,1683.9241760244468,2:47
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,200,0,0.0,30,-1542937034,-1984017868,228.858695242741,906.43754113709,53.63333333333333,19.366666666666667,73.4703196347032,356.7860759595948,1367.101818035955,0:34
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,500,0,0.0,30,-848735535,1900002662,179.26488304795586,606.785259964194,55.3,17.7,75.75342465753425,407.66322843611357,1831.9242714987,1:22
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,1000,0,0.0,30,103961542,80972425,187.8778013391774,626.0667133140196,52.46666666666667,20.533333333333335,71.87214611872146,371.4784318606336,1507.1905719058882,2:47
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,200,0,0.0,30,311648174,-1037439832,0.943342372528321,0.44419106130206115,69.36666666666666,3.6333333333333333,95.02283105022828,1.201556731517886,0.5233887573816259,0:31
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,500,0,0.0,30,-1532180235,-723041209,0.9403208536849521,0.45006719300355486,69.63333333333334,3.3666666666666667,95.38812785388127,1.2068469751622064,0.5355277762188586,1:17
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,1000,0,0.0,30,791403950,1476777149,0.956434798475695,0.45333445247645476,69.93333333333334,3.066666666666667,95.79908675799084,1.206535814185624,0.527866284312094,2:34
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,200,0,0.0,30,-369161620,1874192625,0.9355878554864925,0.441328508932777,69.63333333333334,3.3666666666666667,95.38812785388126,1.191260809835805,0.5178744830015797,0:31
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,500,0,0.0,30,1311937758,1811985297,0.9352550373781712,0.44041626207169843,69.1,3.9,94.65753424657532,1.1874983429392405,0.5179757490949198,1:17
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,1000,0,0.0,30,787860523,496778792,0.9252664071902493,0.44830237077490787,69.23333333333333,3.7666666666666666,94.84018264840182,1.174865021752731,0.5204911109614969,2:38
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,200,0,0.0,30,389222077,144911756,15.716598744331066,13.540598492571684,56.36666666666667,16.633333333333333,77.21461187214612,20.900689250899706,16.545799943716453,0:32
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,500,0,0.0,30,-72146239,345505451,15.47346344638599,13.719157975804395,54.233333333333334,18.766666666666666,74.29223744292239,21.134492518689136,17.30010930337776,1:20
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,1000,0,0.0,30,-366466787,392445339,15.515064875814563,12.97850861000349,56.56666666666667,16.433333333333334,77.48858447488585,21.386941265204207,17.83839681615051,2:43
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,200,0,0.0,30,-1598163349,-1548876606,16.150815325333337,13.934594103846381,57.0,16.0,78.08219178082192,21.28195970785952,16.935096575007794,0:32
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,500,0,0.0,30,-1394868578,-237625535,16.019614280454018,13.770248629895153,57.3,15.7,78.4931506849315,21.771956805668058,18.538853153494063,1:21
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,1000,0,0.0,30,-2038884783,811565541,15.678793631644748,13.128026751938803,56.46666666666667,16.533333333333335,77.35159817351597,21.341488324111378,18.09933898985732,2:39
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,200,0,0.0,30,-732491505,86446962,0.9507735460708907,0.45594627859490405,69.23333333333333,3.7666666666666666,94.84018264840182,1.2081201948905185,0.536231691014213,0:35
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,500,0,0.0,30,548528029,-240815982,0.9616957522188015,0.4504940691409041,69.36666666666666,3.6333333333333333,95.02283105022829,1.2244521545079894,0.5330967010089273,1:32
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,1000,0,0.0,30,1136516830,1362228736,0.92876639725593,0.4455708322642552,69.26666666666667,3.7333333333333334,94.88584474885845,1.1684271401048296,0.5094920310289385,3:2
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,200,0,0.0,30,833371081,2018670252,0.9607038857238528,0.4346709488945078,69.76666666666667,3.2333333333333334,95.57077625570777,1.2089007233945428,0.5139382982700772,0:34
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,500,0,0.0,30,-887080266,-1719413095,0.9286955808380271,0.437832051771359,68.63333333333334,4.366666666666666,94.01826484018267,1.1881533771299282,0.5241811006432509,1:26
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Manhattan,Gaussian,1000,0,0.0,30,2000505445,1864628353,0.9477272340898055,0.44519722451085764,68.33333333333333,4.666666666666667,93.60730593607305,1.2013712676728783,0.5253757662567894,2:51
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,200,0,0.0,30,-955138702,338146101,15.811137258778531,13.881603278008173,57.266666666666666,15.733333333333333,78.44748858447488,20.96170530569343,17.06872175053198,0:34
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,500,0,0.0,30,-1069782440,621330289,15.754456076820357,13.552057901705629,55.733333333333334,17.266666666666666,76.34703196347031,21.319736834940258,17.666995783681458,1:23
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,1000,0,0.0,30,337897675,-175173446,15.44298399072008,13.138987000706011,56.5,16.5,77.39726027397258,21.41017777182302,17.629583665451154,2:52
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,200,0,0.0,30,-752602432,519756319,15.875688831784327,13.728953757885217,57.06666666666667,15.933333333333334,78.17351598173516,21.306644482319705,17.44518993355246,0:35
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,500,0,0.0,30,1850239327,1785748328,15.530418538479218,12.373674711716621,58.166666666666664,14.833333333333334,79.68036529680363,21.578829864140516,18.564809901879496,1:22
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Manhattan,Gaussian,1000,0,0.0,30,-448712392,87863716,15.722940539853868,12.725342111271383,54.5,18.5,74.65753424657535,21.63442135131458,18.235835782044724,2:45
