Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-365055250,472272038,0.051374766734973557,0.08456570123458243,51.43333333333333,37.56666666666667,57.79026217228464,0.09133940414343575,0.14590639399824926,3:3
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,200,0,0.0,30,715396805,-1765244777,0.05143831466749986,0.07947552283782569,52.7,36.3,59.21348314606742,0.09537315250533926,0.17332976665952676,0:35
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,500,0,0.0,30,-1951964543,778204698,0.0466926743745418,0.07504876196076316,51.7,37.3,58.08988764044943,0.0838753309672053,0.15336753777791445,1:27
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-354313599,1053765166,0.053946993027011905,0.08640692713407079,52.03333333333333,36.96666666666667,58.46441947565542,0.0959188110689669,0.16629151166641917,2:50
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,200,0,0.0,30,-1800391631,-988392685,0.27744882545083244,0.8845917572838567,64.76666666666667,24.233333333333334,72.77153558052434,0.5962169091126808,2.089651793969143,0:34
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,500,0,0.0,30,-1528616399,58012920,0.26858848704140087,0.906273357830533,62.266666666666666,26.733333333333334,69.96254681647942,0.6023292399474739,2.0565063418394804,1:28
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,1000,0,0.0,30,1686060382,-226737127,0.2683944452914722,0.8897712757337697,59.1,29.9,66.40449438202246,0.6452963108707207,2.259313132893095,2:53
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,200,0,0.0,30,1870747917,-1321586844,0.3224792935424652,1.0901276826826023,62.13333333333333,26.866666666666667,69.81273408239699,0.6486908812014993,2.270604459109316,0:34
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,500,0,0.0,30,-1805139558,1371310936,0.2762951879354199,0.9254287179499237,62.3,26.7,70.0,0.6512806835460888,2.3390093037358635,1:25
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,1000,0,0.0,30,577905898,-1081515460,0.28994431957935185,0.9953277519504937,57.666666666666664,31.333333333333332,64.7940074906367,0.6247199658837896,2.1519240902679306,2:49
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,200,0,0.0,30,-1874626178,-741817964,0.3798068777095596,0.2788092348923748,53.0,36.0,59.550561797752806,0.5097022876752086,0.3730296732059903,0:32
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,500,0,0.0,30,-186166861,1376917862,0.3473619060944784,0.24202651179745455,53.4,35.6,60.00000000000001,0.4741636162136469,0.3565205653766691,1:22
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,1000,0,0.0,30,216236894,-2013321409,0.3652822684780722,0.2578384686319506,50.6,38.4,56.85393258426965,0.4988887441098188,0.376912059298256,2:42
